"ClassName","Method","LocalLines","IdaLines","Ratio","LocalFile","LocalLine","IdaFile"
"CUnmannedTraderClassInfoTableType","GetGroupID","12","49","0.24","D:\repo\WorldServer\Entities\CUnmannedTraderClassInfoTableType.cpp","152","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderClassInfoTableType__GetGroupID_3.c"
"CUnmannedTraderScheduler","Init","12","50","0.24","D:\repo\WorldServer\Entities\CUnmannedTraderScheduler.cpp","46","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderScheduler__Init_1.c"
"CWeeklyGuildRankInfo","GetCurOwnerGuild","8","33","0.24","D:\repo\WorldServer\Entities\CWeeklyGuildRankInfo.cpp","428","D:\repo\WorldServerIdaPro\functions\CWeeklyGuildRankInfo__GetCurOwnerGuild_1.c"
"CWeeklyGuildRankInfo","GetPrevOwnerGuild","8","33","0.24","D:\repo\WorldServer\Entities\CWeeklyGuildRankInfo.cpp","414","D:\repo\WorldServerIdaPro\functions\CWeeklyGuildRankInfo__GetPrevOwnerGuild_1.c"
"CDarkHoleDungeonQuest","CDarkHoleDungeonQuest","6","24","0.25","D:\repo\WorldServer\Entities\CDarkHoleDungeonQuest.cpp","24","D:\repo\WorldServerIdaPro\functions\CDarkHoleDungeonQuest__CDarkHoleDungeonQuest_1.c"
"CGuildRoomSystem","RoomIn","6","24","0.25","D:\repo\WorldServer\Entities\CGuildRoomSystem.cpp","480","D:\repo\WorldServerIdaPro\functions\CGuildRoomSystem__RoomIn_1.c"
"CGuildRoomSystem","RoomOut","6","24","0.25","D:\repo\WorldServer\Entities\CGuildRoomSystem.cpp","493","D:\repo\WorldServerIdaPro\functions\CGuildRoomSystem__RoomOut_1.c"
"CMapItemStoreList","CopyItemStoreData","25","99","0.25","D:\repo\WorldServer\Entities\CMapItemStoreList.cpp","34","D:\repo\WorldServerIdaPro\functions\CMapItemStoreList__CopyItemStoreData_1.c"
"CNationCodeStrTable","GetCode","6","24","0.25","D:\repo\WorldServer\Entities\CNationCodeStrTable.cpp","104","D:\repo\WorldServerIdaPro\functions\CNationCodeStrTable__GetCode_1.c"
"CQuestMgr","CQuestMgr","6","24","0.25","D:\repo\WorldServer\Entities\CQuestMgr.cpp","28","D:\repo\WorldServerIdaPro\functions\CQuestMgr__CQuestMgr_1.c"
"CRaceBuffInfoByHolyQuestfGroup","Apply","6","24","0.25","D:\repo\WorldServer\Entities\CRaceBuffInfoByHolyQuestfGroup.cpp","55","D:\repo\WorldServerIdaPro\functions\CRaceBuffInfoByHolyQuestfGroup__Apply_1.c"
"CRaceBuffInfoByHolyQuestfGroup","CreateComplete","6","24","0.25","D:\repo\WorldServer\Entities\CRaceBuffInfoByHolyQuestfGroup.cpp","81","D:\repo\WorldServerIdaPro\functions\CRaceBuffInfoByHolyQuestfGroup__CreateComplete_1.c"
"CRaceBuffInfoByHolyQuestfGroup","Release","6","24","0.25","D:\repo\WorldServer\Entities\CRaceBuffInfoByHolyQuestfGroup.cpp","68","D:\repo\WorldServerIdaPro\functions\CRaceBuffInfoByHolyQuestfGroup__Release_1.c"
"CUnmannedTraderSubClassInfoCode","GetGroupID","12","48","0.25","D:\repo\WorldServer\Entities\CUnmannedTraderSubClassInfoCode.cpp","75","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderSubClassInfoCode__GetGroupID_1.c"
"CUnmannedTraderUserInfo","Clear","8","32","0.25","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","196","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__Clear_1.c"
"CBsp","GetFinalPath","35","133","0.26","D:\repo\WorldServer\Entities\CBsp.cpp","363","D:\repo\WorldServerIdaPro\functions\CBsp__GetFinalPath.c"
"CChiNetworkEX","Send_ClienInform","6","23","0.26","D:\repo\WorldServer\Entities\CChiNetworkEX.cpp","75","D:\repo\WorldServerIdaPro\functions\CChiNetworkEX__Send_ClienInform_1.c"
"CHonorGuild","Init","11","43","0.26","D:\repo\WorldServer\Entities\CHonorGuild.cpp","68","D:\repo\WorldServerIdaPro\functions\CHonorGuild__Init_1.c"
"CLogTypeDBTaskManager","CleanUp","8","31","0.26","D:\repo\WorldServer\Entities\CLogTypeDBTaskManager.cpp","661","D:\repo\WorldServerIdaPro\functions\CLogTypeDBTaskManager__CleanUp_1.c"
"CNationSettingFactory","RegistCheatEndRecord","9","34","0.26","D:\repo\WorldServer\Entities\CNationSettingFactory.cpp","598","D:\repo\WorldServerIdaPro\functions\CNationSettingFactory__RegistCheatEndRecord_1.c"
"CNationSettingManager","Init","11","42","0.26","D:\repo\WorldServer\Entities\CNationSettingManager.cpp","25","D:\repo\WorldServerIdaPro\functions\CNationSettingManager__Init_1.c"
"CPlayer","GetFireTol","7","27","0.26","D:\repo\WorldServer\Entities\CPlayer_Combat.cpp","3023","D:\repo\WorldServerIdaPro\functions\CPlayer__GetFireTol_1.c"
"CPlayer","GetSoilTol","7","27","0.26","D:\repo\WorldServer\Entities\CPlayer_Combat.cpp","3055","D:\repo\WorldServerIdaPro\functions\CPlayer__GetSoilTol_1.c"
"CPlayer","GetWaterTol","7","27","0.26","D:\repo\WorldServer\Entities\CPlayer_Combat.cpp","3067","D:\repo\WorldServerIdaPro\functions\CPlayer__GetWaterTol_1.c"
"CPlayer","GetWindTol","7","27","0.26","D:\repo\WorldServer\Entities\CPlayer_Combat.cpp","3115","D:\repo\WorldServerIdaPro\functions\CPlayer__GetWindTol_1.c"
"CTotalGuildRankManager","Send","6","23","0.26","D:\repo\WorldServer\Entities\CTotalGuildRankManager.cpp","83","D:\repo\WorldServerIdaPro\functions\CTotalGuildRankManager__Send_1.c"
"CUnmannedTraderGroupIDInfo","GetGroupID","17","66","0.26","D:\repo\WorldServer\Entities\CUnmannedTraderGroupIDInfo.cpp","120","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderGroupIDInfo__GetGroupID_3.c"
"CWeeklyGuildRankManager","Send","6","23","0.26","D:\repo\WorldServer\Entities\CWeeklyGuildRankManager.cpp","677","D:\repo\WorldServerIdaPro\functions\CWeeklyGuildRankManager__Send_1.c"
"CAsyncLogger","Regist","42","156","0.27","D:\repo\WorldServer\Entities\CAsyncLogger.cpp","50","D:\repo\WorldServerIdaPro\functions\CAsyncLogger__Regist_1.c"
"CItemStoreManager","SetEnforceInitNormalStore","11","41","0.27","D:\repo\WorldServer\Entities\CItemStoreManager.cpp","604","D:\repo\WorldServerIdaPro\functions\CItemStoreManager__SetEnforceInitNormalStore_1.c"
"CMonster","CMonster","7","26","0.27","D:\repo\WorldServer\Entities\CMonster.cpp","53","D:\repo\WorldServerIdaPro\functions\CMonster__CMonster_1.c"
"CMoveMapLimitInfoPortal","Init","7","26","0.27","D:\repo\WorldServer\Entities\CMoveMapLimitInfoPortal.cpp","46","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitInfoPortal__Init_1.c"
"CMoveMapLimitManager","Instance","6","22","0.27","D:\repo\WorldServer\Entities\CMainThread.cpp","1659","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitManager__Instance_1.c"
"CNetworkEX","AlterWindowInfoRequest","6","22","0.27","D:\repo\WorldServer\Entities\CNetworkEX.cpp","5992","D:\repo\WorldServerIdaPro\functions\CNetworkEX__AlterWindowInfoRequest_1.c"
"CRaceBuffManager","Instance","6","22","0.27","D:\repo\WorldServer\Entities\CMainThread.cpp","1667","D:\repo\WorldServerIdaPro\functions\CRaceBuffManager__Instance_1.c"
"CUnmannedTraderScheduler","Loop","16","60","0.27","D:\repo\WorldServer\Entities\CUnmannedTraderScheduler.cpp","88","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderScheduler__Loop_1.c"
"CUnmannedTraderScheduler","Update","12","44","0.27","D:\repo\WorldServer\Entities\CUnmannedTraderScheduler.cpp","173","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderScheduler__Update_1.c"
"CUnmannedTraderUserInfo","CompleteUpdateState","12","44","0.27","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","1326","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__CompleteUpdateState_1.c"
"BossSchedule","Make_LastTimeRespawnSystemTime","16","58","0.28","D:\repo\WorldServer\Entities\BossSchedule.cpp","50","D:\repo\WorldServerIdaPro\functions\BossSchedule__Make_LastTimeRespawnSystemTime_1.c"
