"ClassName","Method","LocalLines","IdaLines","Ratio","LocalFile","LocalLine","IdaFile"
"CUnmannedTraderUserInfoTable","CancelRegist","6","20","0.3","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfoTable.cpp","114","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfoTable__CancelRegist_1.c"
"CUnmannedTraderUserInfoTable","ClearRequest","6","20","0.3","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfoTable.cpp","298","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfoTable__ClearRequest_1.c"
"CUnmannedTraderUserInfoTable","ModifyPrice","6","20","0.3","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfoTable.cpp","103","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfoTable__ModifyPrice_1.c"
"CUnmannedTraderUserInfoTable","ReRegist","6","20","0.3","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfoTable.cpp","147","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfoTable__ReRegist_1.c"
"PatriarchElectProcessor","SendMsg_ResultCode","6","20","0.3","D:\repo\WorldServer\Entities\PatriarchElectProcessor.cpp","376","D:\repo\WorldServerIdaPro\functions\PatriarchElectProcessor__SendMsg_ResultCode_1.c"
"AutominePersonalMgr","init_objects","14","45","0.31","D:\repo\WorldServer\Entities\AutominePersonalMgr.cpp","84","D:\repo\WorldServerIdaPro\functions\AutominePersonalMgr__init_objects_1.c"
"CandidateMgr","DischargePatriarchGroup","10","32","0.31","D:\repo\WorldServer\Entities\CandidateMgr.cpp","206","D:\repo\WorldServerIdaPro\functions\CandidateMgr__DischargePatriarchGroup_1.c"
"CBsp","GetLightMapUVFromPoint","81","262","0.31","D:\repo\WorldServer\Entities\CBsp.cpp","1138","D:\repo\WorldServerIdaPro\functions\CBsp__GetLightMapUVFromPoint.c"
"CHolyStoneSystem","GetStartBattleTickTime","12","39","0.31","D:\repo\WorldServer\Entities\CHolyStoneSystem.cpp","626","D:\repo\WorldServerIdaPro\functions\CHolyStoneSystem__GetStartBattleTickTime_1.c"
"CItemStore","SetLimitItemInitTime","12","39","0.31","D:\repo\WorldServer\Entities\CItemStore.cpp","265","D:\repo\WorldServerIdaPro\functions\CItemStore__SetLimitItemInitTime_1.c"
"CMainThread","ObjectInit","107","344","0.31","D:\repo\WorldServer\Entities\CMainThread.cpp","3175","D:\repo\WorldServerIdaPro\functions\CMainThread__ObjectInit_1.c"
"CMainThread","SetGlobalDataName","394","1277","0.31","D:\repo\WorldServer\Entities\CMainThread.cpp","2260","D:\repo\WorldServerIdaPro\functions\CMainThread__SetGlobalDataName_1.c"
"CMsgData","Init","17","55","0.31","D:\repo\WorldServer\Entities\CMsgData.cpp","54","D:\repo\WorldServerIdaPro\functions\CMsgData__Init_1.c"
"CNetProcess","CNetProcess","18","58","0.31","D:\repo\WorldServer\Entities\CNetProcess.cpp","873","D:\repo\WorldServerIdaPro\functions\CNetProcess__CNetProcess_1.c"
"CPlayer","SendMsg_PotionDelayTime","8","26","0.31","D:\repo\WorldServer\Entities\CPlayer_Combat.cpp","2531","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_PotionDelayTime_1.c"
"CReturnGateController","CleanUp","18","59","0.31","D:\repo\WorldServer\Entities\CReturnGateController.cpp","27","D:\repo\WorldServerIdaPro\functions\CReturnGateController__CleanUp_1.c"
