CPlayer_SendMsg_EconomyRateInform_msg	_economy_rate_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:6713:struct _economy_rate_inform_zocl
CPlayer_SendMsg_PotionDelayTime_msg	_potion_delay_time_information_zocl	MISSING
CPlayer_SendMsg_TowerContinue_msg	_continue_tower_inform	FOUND	WorldServer/Entities\CMainThread.h:7212:struct _continue_tower_inform
CPlayer_SendMsg_GestureInform_msg	_gesture_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:6786:struct _gesture_inform_zocl
CPlayer_SendMsg_BuddyPosInform_msg	_buddy_pos_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:7499:struct _buddy_pos_inform_zocl
CPlayer_SendMsg_DarkHoleRewardMessage_msg	_darkhole_reward_message_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:5129:struct _darkhole_reward_message_inform_zocl
CPlayer_SendMsg_Circle_DelEffect_msg	_circle_del_effect_inform_zocl	MISSING
GuildListResult	_guild_list_result_zocl	MISSING
CPlayer_pc_DTradeAnswerRequest_msg	_d_trade_start_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:7222:struct _d_trade_start_inform_zocl
CPlayer_SendMsg_FixPosition_msg	_player_fixpositon_zocl	FOUND	WorldServer/Entities\CMainThread.h:6560:struct _player_fixpositon_zocl
CPlayer_SendMsg_RealMovePoint_msg	_player_real_move_zocl	FOUND	WorldServer/Entities\CMainThread.h:6574:struct _player_real_move_zocl
