"file","line","name","pack","in_pack1"
"WorldServer\Entities\darkhole_real_add_time_inform_zocl.h","6","_darkhole_real_add_time_inform_zocl","1","True"
"WorldServer\Entities\darkhole_real_msg_inform_zocl.h","6","_darkhole_real_msg_inform_zocl","1","True"
"WorldServer\Entities\darkhole_state_change_zocl.h","6","_darkhole_state_change_zocl","1","True"
"WorldServer\Entities\darkhole_timeout_inform_zocl.h","6","_darkhole_timeout_inform_zocl","1","True"
"WorldServer\Entities\DfnEquipItem_fld.h","8","_DfnEquipItem_fld","1","True"
"WorldServer\Entities\DqsOnRunPayloads.h","142","_manage_client_limit_run_request_acwr","1","True"
"WorldServer\Entities\EditData_fld.h","13","_EditData_fld","1","True"
"WorldServer\Entities\ElectPacketTypes.h","6","_pt_trans_votepaper_zocl","1","True"
"WorldServer\Entities\ElectPacketTypes.h","27","_pt_notify_vote_score_zocl","1","True"
"WorldServer\Entities\ElectPacketTypes.h","55","_pt_appoint_inform_request_zocl","1","True"
"WorldServer\Entities\ElectPacketTypes.h","72","_pt_query_appoint_zocl","1","True"
"WorldServer\Entities\enter_lobby_report_wrac.h","7","_enter_lobby_report_wrac","1","True"
"WorldServer\Entities\enter_world_request_wrac.h","7","_enter_world_request_wrac","1","True"
"WorldServer\Entities\equip_up_item_lv_limit_zocl.h","6","_equip_up_item_lv_limit_zocl","1","True"
"WorldServer\Entities\EventItem_fld.h","8","_EventItem_fld","1","True"
"WorldServer\Entities\exchange_lend_item_result_zocl.h","6","_combine_lend_item_result_zocl","1","True"
"WorldServer\Entities\exchange_lend_item_result_zocl.h","27","_exchange_lend_item_result_zocl","1","True"
"WorldServer\Entities\FaceItem_fld.h","8","_FaceItem_fld","1","True"
"WorldServer\Entities\FIRECRACKER_fld.h","8","_FIRECRACKER_fld","1","True"
"WorldServer\Entities\force_download_result_zocl.h","6","_force_download_result_zocl","1","True"
"WorldServer\Entities\force_fld.h","8","_force_fld","1","True"
"WorldServer\Entities\ForceItem_fld.h","8","_ForceItem_fld","1","True"
"WorldServer\Entities\gm_msg_gmcall_list_response_zocl.h","6","_gm_msg_gmcall_list_response_zocl","1","True"
"WorldServer\Entities\GuardTowerItem_fld.h","8","_GuardTowerItem_fld","1","True"
"WorldServer\Entities\guild_alter_member_grade_inform_zocl.h","6","_guild_alter_member_grade_inform_zocl","1","True"
"WorldServer\Entities\guild_alter_member_state_inform_zocl.h","6","_guild_alter_member_state_inform_zocl","1","True"
"WorldServer\Entities\guild_battle_get_gravity_stone_result_zocl.h","6","_guild_battle_get_gravity_stone_result_zocl","1","True"
"WorldServer\Entities\guild_battle_goal_result_zocl.h","6","_guild_battle_goal_result_zocl","1","True"
"WorldServer\Entities\guild_battle_suggest_request_result_zocl.h","6","_guild_battle_suggest_request_result_zocl","1","True"
"WorldServer\Entities\guild_honor_set_request_clzo.h","6","_guild_honor_set_request_clzo","1","True"
"WorldServer\Entities\guild_manage_request_clzo.h","6","_guild_manage_request_clzo","1","True"
"WorldServer\Entities\guild_vote_process_inform_zocl.h","6","_guild_vote_process_inform_zocl","1","True"
"WorldServer\Entities\GuildBattleTypes.h","70","_possible_battle_guild_list_result_zocl","1","True"
"WorldServer\Entities\GuildBattleTypes.h","107","_guild_battle_rank_list_result_zocl","1","True"
"WorldServer\Entities\GuildBattleTypes.h","122","_guild_battle_reserved_schedule_result_zocl","1","True"
"WorldServer\Entities\GuildBattleTypes.h","151","_guild_battle_current_battle_info_result_zocl","1","True"
"WorldServer\Entities\guildroom_enter_request_clzo.h","6","_guildroom_enter_request_clzo","1","True"
"WorldServer\Entities\guildroom_out_request_clzo.h","6","_guildroom_out_request_clzo","1","True"
"WorldServer\Entities\guildroom_out_result_zocl.h","6","_guildroom_out_result_zocl","1","True"
"WorldServer\Entities\guildroom_rent_request_clzo.h","6","_guildroom_rent_request_clzo","1","True"
"WorldServer\Entities\holy_keeper_attackable_inform_zocl.h","6","_holy_keeper_attackable_inform_zocl","1","True"
"WorldServer\Entities\holy_quest_report_wrac.h","6","_holy_quest_report_wrac","1","True"
"WorldServer\Entities\Init_action_point_zocl.h","6","_Init_action_point_zocl","1","True"
"WorldServer\Entities\insert_new_quest_inform_zocl.h","6","_insert_new_quest_inform_zocl","1","True"
"WorldServer\Entities\insert_next_quest_inform_zocl.h","7","_insert_next_quest_inform_zocl","1","True"
"WorldServer\Entities\inven_download_result_zocl.h","6","_inven_download_result_zocl","1","True"
"WorldServer\Entities\item_fanfare_zocl.h","6","_item_fanfare_zocl","1","True"
"WorldServer\Entities\itembox_take_add_result_zocl.h","6","_itembox_take_add_result_zocl","1","True"
"WorldServer\Entities\itembox_take_new_result_zocl.h","6","_itembox_take_new_result_zocl","1","True"
"WorldServer\Entities\ItemCombine_exp_fld.h","8","_ItemCombine_exp_fld","1","True"
"WorldServer\Entities\ItemMakeData_fld.h","7","_ItemMakeData_fld","1","True"
"WorldServer\Entities\ItemUpgrade_fld.h","7","_ItemUpgrade_fld","1","True"
"WorldServer\Entities\limit_item_num_info_zocl.h","6","_limit_item_num_info_zocl","1","True"
"WorldServer\Entities\limitedsale_event_inform_zocl.h","6","_limitedsale_event_inform_zocl","1","True"
"WorldServer\Entities\make_item_request_clzo.h","7","_make_item_request_clzo","1","True"
"WorldServer\Entities\make_tower_request_clzo.h","6","_make_tower_request_clzo","1","True"
"WorldServer\Entities\MakeToolItem_fld.h","8","_MakeToolItem_fld","1","True"
"WorldServer\Entities\map_fld.h","7","_map_fld","1","True"
"WorldServer\Entities\MapItem_fld.h","8","_MapItem_fld","1","True"
"WorldServer\Entities\mobmsg_fld.h","7","_mobmsg_fld","1","True"
"WorldServer\Entities\mon_active_fld.h","7","_mon_active_fld","1","True"
"WorldServer\Entities\mon_block_fld.h","7","_mon_block_fld","1","True"
"WorldServer\Entities\monster_fld.h","7","_monster_fld","1","True"
"WorldServer\Entities\monster_sp_fld.h","7","_monster_sp_fld","1","True"
"WorldServer\Entities\move_to_own_stonemap_inform_zocl.h","6","_move_to_own_stonemap_inform_zocl","1","True"
"WorldServer\Entities\move_to_own_stonemap_result_zocl.h","6","_move_to_own_stonemap_result_zocl","1","True"
"WorldServer\Entities\NameTxt_fld.h","7","_NameTxt_fld","1","True"
"WorldServer\Entities\not_arranged_char_inform_zocl.h","8","_not_arranged_char_inform_zocl","1","True"
"WorldServer\Entities\notice_move_limit_map_msg_zocl.h","6","_notice_move_limit_map_msg_zocl","1","True"
"WorldServer\Entities\notify_cont_play_time_zocl.h","6","_notify_cont_play_time_zocl","1","True"
"WorldServer\Entities\notify_coupon_ensure_time_zocl.h","6","_notify_coupon_ensure_time_zocl","1","True"
"WorldServer\Entities\notify_coupon_error_zocl.h","6","_notify_coupon_error_zocl","1","True"
"WorldServer\Entities\notify_local_time_result_zocl.h","6","_notify_local_time_result_zocl","1","True"
"WorldServer\Entities\notify_not_use_premium_cashitem_zocl.h","6","_notify_not_use_premium_cashitem_zocl","1","True"
"WorldServer\Entities\notify_race_boss_winrate_zocl.h","7","_notify_race_boss_winrate_zocl","1","True"
"WorldServer\Entities\notify_remain_coupon_zocl.h","6","_notify_remain_coupon_zocl","1","True"
"WorldServer\Entities\npc_fld.h","7","_npc_fld","1","True"
