target	action
_extraBytes_34	create_missing
_extraBytes_35	create_missing
_extraBytes_353	create_missing
_extraBytes_36	create_missing
_extraBytes_363	create_missing
_extraBytes_386	create_missing
_extraBytes_39	create_missing
_extraBytes_41	create_missing
_extraBytes_42	create_missing
_extraBytes_428	create_missing
_extraBytes_434	create_missing
_extraBytes_44	create_missing
_extraBytes_45	create_missing
_extraBytes_46	create_missing
_extraBytes_47	create_missing
_extraBytes_49	create_missing
_extraBytes_50	create_missing
_extraBytes_51	create_missing
_extraBytes_519	create_missing
_extraBytes_53	create_missing
_extraBytes_538	create_missing
_extraBytes_55	create_missing
_extraBytes_57	create_missing
_extraBytes_58	create_missing
_extraBytes_61	create_missing
_extraBytes_62	create_missing
_extraBytes_63	create_missing
_extraBytes_66	create_missing
_extraBytes_75	create_missing
_extraBytes_81	create_missing
_extraBytes_87	create_missing
_extraBytes_89	create_missing
_extraBytes_92	create_missing
_extraBytes_95	create_missing
_fcitem_inform_zocl	create_missing
_fireguard_block_request_wrac	create_missing
_fireguard_divide_block_request_wrac	create_missing
_force_download_result_zocl::_list	create_missing
_force_recall_teleport_request_clzo	create_missing
_force_result_one_zocl	create_missing
_gesture_inform_zocl	create_missing
_gettextex	create_missing
_gm_msg_gmcall_list_response_zocl	already_ok
_gm_msg_gmcall_list_response_zocl::_call_node	create_missing
_goto_avator_result_zocl	create_missing
_gravity_stone_fix_position_zocl	create_missing
_gravity_stone_regener_fix_position_zocl	create_missing
_gravity_stone_regener_inform_zocl	create_missing
_guild_add_join_applier_inform_zocl	create_missing
_guild_alter_member_grade_inform_zocl::__list	create_missing
_guild_alter_member_state_inform_zocl::__list	create_missing
_guild_atrade_tax_zocl	create_missing
_guild_battle_complete_msg_zowb	create_missing
_guild_battle_current_battle_info_result_zocl	already_ok
_guild_battle_fin_pvppoint_result_zocl	create_missing
_guild_battle_get_gravity_stone_request_clzo	create_missing
_guild_battle_get_gravity_stone_result_zocl	already_ok
_guild_battle_goal_result_zocl	already_ok
_guild_battle_notify_ball_position_zocl	create_missing
_guild_battle_notify_committee_member_position_zocl	create_missing
_guild_battle_notify_gravity_stone_owner_die_zocl	create_missing
_guild_battle_pvp_inform_zocl	create_missing
_guild_battle_rank_list_request_clzo	create_missing
_guild_battle_rank_list_result_no_data_zocl	create_missing
_guild_battle_rank_list_result_zocl	already_ok
_guild_battle_rank_list_result_zocl::__list	create_missing
_guild_battle_reserve_msg_zowb	create_missing
_guild_battle_reserved_schedule_request_clzo	create_missing
_guild_battle_reserved_schedule_result_zocl	already_ok
_guild_battle_restart_zocl	create_missing
_guild_battle_start_zocl	create_missing
_guild_del_join_applier_inform_zocl	create_missing
_guild_honor_list_result_zocl::__list	create_missing
_guild_honorguild_mark_zocl	create_missing
_guild_info_update_inform_zocl	create_missing
_guild_io_money_inform_zocl	create_missing
_guild_join_accept_fail_zocl	create_missing
_guild_join_accept_inform_zocl	create_missing
_guild_join_accept_request_clzo	create_missing
_guild_join_apply_result_zocl	create_missing
_guild_join_other_inform_zocl	create_missing
_guild_leave_inform_zocl	create_missing
_guild_manage_request_clzo	already_ok
_guild_member_download_zocl	already_ok
_guild_member_login_inform_zocl	create_missing
_guild_member_pos_inform_zocl	create_missing
_guild_offer_suggest_request_clzo	create_missing
_guild_push_money_result_zocl	create_missing
_guild_query_info_result_zocl	already_ok
_guild_vote_complete_zocl	create_missing
_guild_vote_process_inform_zocl	already_ok
_guild_vote_request_clzo	create_missing
_guild_vote_result_zocl	create_missing
_guildroom_enter_result_zocl	create_missing
_guildroom_rent_request_clzo	already_ok
_holy_complete_quest_inform_zowb	create_missing
_holy_keeper_attackable_inform_zocl	already_ok
_holy_keeper_change_chaos_inform	create_missing
_holy_minetime_extend_inform_zowb	create_missing
_holystone_alter_oper_circle_inform_zocl	create_missing
_insert_item_inform_zocl	create_missing
_insert_quest_failure_zocl	create_missing
_insert_quest_item_inform_zocl	create_missing
_insert_trc_info	already_ok
_inven_download_result_zocl::_list	create_missing
_item_fanfare_zocl	already_ok
_itembox_create_zocl	create_missing
_itembox_fixpositon_zocl	create_missing
_itembox_state_change_zocl	create_missing
_itembox_take_add_result_zocl	already_ok
_itembox_take_new_result_zocl	already_ok
_keeper_create_zocl	create_missing
_keeper_destroy_zocl	create_missing
_keeper_enter_inform_zocl	create_missing
_keeper_fixpositon_zocl	create_missing
_keeper_move_zocl	create_missing
_keeper_real_move_zocl	create_missing
_last_attacker_for_the_keeper_inform_zowb	create_missing
_last_effect_change_inform_zocl	create_missing
_lend_item_time_expired_zocl	create_missing
_level_up_zocl	create_missing
_limit_item_num_info_zocl	already_ok
_limit_item_num_info_zocl::_limit_item_info	create_missing
_limitedsale_event_inform_zocl	already_ok
_linkboard_download_result_zocl	create_missing
_make_item_request_clzo	already_ok
_make_tower_request_clzo	already_ok
_make_tower_result_zocl	create_missing
_make_trap_result_zocl	create_missing
_map_env_code_inform_zocl	create_missing
_mine_complete_result_zocl	create_missing
_money_supply_gatering_inform_zowb	create_missing
_monster_change_rotate_zocl	create_missing
_monster_change_state_zocl	create_missing
_monster_create_zocl	create_missing
_monster_destroy_zocl	create_missing
_monster_fixpositon_zocl	create_missing
_monster_move_zocl	create_missing
_monster_present_emotion_zocl	create_missing
_monster_real_move_zocl	create_missing
_monster_sp_group	already_ok
_move_error_result_zocl	create_missing
_move_potal_request_clzo	create_missing
_move_potal_result_zocl	create_missing
_move_request_clzo	create_missing
_moveout_user_result_zone	patch_existing
_msgfilter	create_missing
_notice_is_arrive_master	create_missing
_notice_next_quest_inform_zocl	create_missing
_notify_effect_for_get_gold_box_item_zocl	create_missing
_notify_gold_box_event_status_zocl	create_missing
_notify_local_time_result_zocl	already_ok
_notify_player_time_limit_Info_zocl	create_missing
_notify_race_battle_penelty_zocl	create_missing
_notify_race_boss_winrate_zocl	already_ok
_notify_recall_request_zocl	create_missing
_notify_set_race_buff_by_holy_quest_zocl	create_missing
_notify_unmanned_trader_weekly_daily_income_zocl	create_missing
_notify_update_player_time_limit_Info_zocl	create_missing
_npc_create_zocl	create_missing
_npc_destroy_zocl	create_missing
_npc_move_zocl	create_missing
_npc_quest_list_result_zocl	create_missing
_nuclear_bomb_current_state_zocl::__nuclear	create_missing
_nuclear_bomb_drop_result_zocl	create_missing
_nuclear_bomb_position_inform_zocl	create_missing
_nuclear_position_result_zocl	already_ok
_object_server_pos_result_zocl	create_missing
_objectpositions	create_missing
_open_control_inform_acwr	create_missing
_open_return_gate_inform_zocl	create_missing
_open_world_request_wrac	already_ok
