name	file	line	decl
_d_trade_add_inform_zocl	tes.h	81823	struct __unaligned __declspec(align(1)) _d_trade_add_inform_zocl
_d_trade_add_request_clzo	tes.h	79204	struct __unaligned __declspec(align(1)) _d_trade_add_request_clzo
_d_trade_bet_inform_zocl	tes.h	81852	struct __unaligned __declspec(align(1)) _d_trade_bet_inform_zocl
_d_trade_bet_request_clzo	tes.h	79217	struct __unaligned __declspec(align(1)) _d_trade_bet_request_clzo
_d_trade_start_inform_zocl	tes.h	81791	struct __unaligned __declspec(align(2)) _d_trade_start_inform_zocl
_d_trade_unit_add_inform_zocl	tes.h	81891	struct __unaligned __declspec(align(2)) _d_trade_unit_add_inform_zocl
_d_trade_unit_info_inform_zocl	tes.h	81880	struct _d_trade_unit_info_inform_zocl
_darkhole_answer_reenter_request_clzo	tes.h	58949	struct __unaligned __declspec(align(1)) _darkhole_answer_reenter_request_clzo
_darkhole_enter_request_clzo	tes.h	58986	struct __unaligned __declspec(align(2)) _darkhole_enter_request_clzo
_darkhole_reward_message_inform_zocl	tes.h	59007	struct __unaligned __declspec(align(1)) _darkhole_reward_message_inform_zocl
_decide_recall_error_result_zocl	tes.h	59540	struct __unaligned __declspec(align(1)) _decide_recall_error_result_zocl
_decide_recall_request_clzo	tes.h	79989	struct __unaligned __declspec(align(1)) _decide_recall_request_clzo
_delete_storage_inform_zocl	tes.h	81358	struct __unaligned __declspec(align(1)) _delete_storage_inform_zocl
_destroy_gravity_stone_zocl	tes.h	80362	struct __unaligned __declspec(align(2)) _destroy_gravity_stone_zocl
_economy_data_inform_zowb	tes.h	58190	struct __unaligned __declspec(align(2)) _economy_data_inform_zowb
_economy_rate_inform_zocl	tes.h	81044	struct __unaligned __declspec(align(1)) _economy_rate_inform_zocl
_editstream	tes.h	74520	struct __unaligned __declspec(align(4)) _editstream
_effect_add_inform_zocl	tes.h	81736	struct __unaligned __declspec(align(2)) _effect_add_inform_zocl
_effect_remove_inform_zocl	tes.h	81745	struct __unaligned __declspec(align(2)) _effect_remove_inform_zocl
_effect_start_inform_zocl	tes.h	55238	struct __unaligned __declspec(align(1)) _effect_start_inform_zocl
_encorrecttext	tes.h	69081	struct __unaligned __declspec(align(4)) _encorrecttext
_enlink	tes.h	71298	struct __unaligned __declspec(align(4)) _enlink
_enoleopfailed	tes.h	62939	struct __unaligned __declspec(align(4)) _enoleopfailed
