name	required_pack	status	file	line	kind	current_pack	decl
_a_trade_clear_item_request_clzo	1	missing_pack_scope	WorldServer/Entities/CUnmannedTraderController.h	11	struct		struct _a_trade_clear_item_request_clzo;
_a_trade_clear_item_request_clzo	1	missing_pack_scope	WorldServer/Entities/CUnmannedTraderUserInfo.h	12	struct		struct _a_trade_clear_item_request_clzo;
_a_trade_clear_item_request_clzo	1	missing_pack_scope	WorldServer/Entities/CUnmannedTraderUserInfoTable.h	15	struct		struct _a_trade_clear_item_request_clzo;
_a_trade_clear_item_result_zocl	1	ok	WorldServer/Entities/a_trade_clear_item_result_zocl.h	6	struct	1	struct __unaligned __declspec(align(1)) _a_trade_clear_item_result_zocl
_a_trade_reg_item_request_clzo	1	ok	WorldServer/Entities/a_trade_reg_item_request_clzo.h	6	struct	1	struct _a_trade_reg_item_request_clzo
_a_trade_reg_item_request_clzo	1	missing_pack_scope	WorldServer/Entities/CUnmannedTraderController.h	12	struct		struct _a_trade_reg_item_request_clzo;
_a_trade_reg_item_request_clzo	1	missing_pack_scope	WorldServer/Entities/CUnmannedTraderUserInfo.h	13	struct		struct _a_trade_reg_item_request_clzo;
_a_trade_reg_item_request_clzo	1	missing_pack_scope	WorldServer/Entities/CUnmannedTraderUserInfoTable.h	16	struct		struct _a_trade_reg_item_request_clzo;
_a_trade_sell_inform_zocl	1	no_match_in_entities					
_add_holyquest_actcum_inform_zocl	1	no_match_in_entities					
_add_lend_item_result_zocl	1	ok	WorldServer/Entities/add_lend_item_result_zocl.h	6	struct	1	struct _add_lend_item_result_zocl
_adjust_amount_inform_zocl	1	no_match_in_entities					
_alive_char_request_clzo	1	no_match_in_entities					
_alive_char_result_zocl	1	ok	WorldServer/Entities/alive_char_result_zocl.h	7	struct	1	struct __cppobj __unaligned __declspec(align(2)) _alive_char_result_zocl
_alter_action_point_zocl	1	ok	WorldServer/Entities/alter_action_point_zocl.h	6	struct	1	struct _alter_action_point_zocl
_alter_cont_effect_time_zocl	1	ok	WorldServer/Entities/alter_cont_effect_time_zocl.h	6	struct	1	struct _alter_cont_effect_time_zocl
_alter_item_dur_zocl	1	no_match_in_entities					
_alter_item_slot_request_clzo::__list	1	no_match_in_entities					
_alter_money_inform_zocl	1	no_match_in_entities					
_alter_pvp_cash_zocl	1	no_match_in_entities					
_alter_ranking_inform_zocl	1	no_match_in_entities					
_alter_unit_bullet_inform_zocl	1	no_match_in_entities					
_alter_unit_hp_inform_zocl	1	no_match_in_entities					
_animus_act_heal_inform_zocl	1	no_match_in_entities					
_animus_create_zocl	1	no_match_in_entities					
_animus_destroy_zocl	1	no_match_in_entities					
_animus_download_result_zocl::_list	1	no_match_in_entities					
_animus_exp_inform_zocl	1	no_match_in_entities					
_animus_fixpositon_zocl	1	no_match_in_entities					
_animus_lvup_inform_zocl	1	no_match_in_entities					
_animus_move_zocl	1	no_match_in_entities					
_animus_real_move_zocl	1	no_match_in_entities					
_animus_recall_result_zocl	1	no_match_in_entities					
_animus_return_result_zocl	1	no_match_in_entities					
_animus_target_request_clzo	1	no_match_in_entities					
_announ_message_receipt_udp	1	missing_pack_scope	WorldServer/Entities/announ_message_receipt_udp.h	5	struct		struct __unaligned __declspec(align(2)) _announ_message_receipt_udp
_apex_block_request_wrac	1	no_match_in_entities					
_apex_send_ip	1	no_match_in_entities					
_atrade_taxrate_result_zocl	1	ok	WorldServer/Entities/atrade_taxrate_result_zocl.h	6	struct	1	struct __unaligned __declspec(align(2)) _atrade_taxrate_result_zocl
_attack_force_request_clzo	1	no_match_in_entities					
_attack_force_result_zocl	1	ok	WorldServer/Entities/attack_force_result_zocl.h	7	struct	1	struct _attack_force_result_zocl
_attack_gen_request_clzo	1	no_match_in_entities					
_attack_gen_result_zocl	1	ok	WorldServer/Entities/attack_gen_result_zocl.h	6	struct	1	struct _attack_gen_result_zocl
_attack_gen_result_zocl::_dam_list	1	no_match_in_entities					
_attack_keeper_inform_zocl	1	no_match_in_entities					
_attack_selfdestruction_result_zocl	1	ok	WorldServer/Entities/attack_selfdestruction_result_zocl.h	7	struct	1	struct _attack_selfdestruction_result_zocl
_attack_siege_request_clzo	1	no_match_in_entities					
