ea,segment,name,kind,value,used_by_functions,log_like
0x1406EB720,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_2,bytes[8],10 D5 6D 40 01 00 00 00,,0
0x1406EB730,.rdata,g_Network$initializer$,bytes[8],60 DE 6D 40 01 00 00 00,,0
0x1406EB740,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_3,bytes[8],B0 DF 6D 40 01 00 00 00,,0
0x1406EB748,.rdata,STATE_LIST_NULL$initializer$_3,bytes[8],00 E0 6D 40 01 00 00 00,,0
0x1406EB750,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_3,bytes[8],60 E0 6D 40 01 00 00 00,,0
0x1406EB758,.rdata,g_PartyPlayer$initializer$,bytes[8],B0 E0 6D 40 01 00 00 00,,0
0x1406EB760,.rdata,g_Player$initializer$,bytes[8],00 E1 6D 40 01 00 00 00,,0
0x1406EB768,.rdata,g_Main$initializer$,bytes[8],70 E1 6D 40 01 00 00 00,,0
0x1406EB770,.rdata,g_dwCurTime$initializer$,bytes[8],C0 E1 6D 40 01 00 00 00,,0
0x1406EB788,.rdata,CNationSettingDataNULL::ms_NULL$initializer$,bytes[8],00 E3 6D 40 01 00 00 00,,0
0x1406EB798,.rdata,g_GameStatistics$initializer$,bytes[8],D0 F0 6D 40 01 00 00 00,,0
0x1406EB7A8,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_4,bytes[8],20 F5 6D 40 01 00 00 00,,0
0x1406EB7B0,.rdata,STATE_LIST_NULL$initializer$_4,bytes[8],70 F5 6D 40 01 00 00 00,,0
0x1406EB7B8,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_4,bytes[8],D0 F5 6D 40 01 00 00 00,,0
0x1406EB7C8,.rdata,CGuild::s_MgrHistory$initializer$,bytes[8],20 F7 6D 40 01 00 00 00,,0
0x1406EB7D0,.rdata,CGuild::s_GuildList$initializer$,bytes[8],70 F7 6D 40 01 00 00 00,,0
0x1406EB7D8,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_5,bytes[8],C0 F7 6D 40 01 00 00 00,,0
0x1406EB7E0,.rdata,STATE_LIST_NULL$initializer$_5,bytes[8],10 F8 6D 40 01 00 00 00,,0
0x1406EB7E8,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_5,bytes[8],70 F8 6D 40 01 00 00 00,,0
0x1406EB7F8,.rdata,g_TransportShip$initializer$,bytes[8],C0 FA 6D 40 01 00 00 00,,0
0x1406EB808,.rdata,g_DarkHoleQuest$initializer$,bytes[8],B0 FB 6D 40 01 00 00 00,,0
0x1406EB818,.rdata,g_HolySys$initializer$,bytes[8],00 FE 6D 40 01 00 00 00,,0
0x1406EB820,.rdata,g_24Time$initializer$,bytes[8],50 FE 6D 40 01 00 00 00,,0
0x1406EB830,.rdata,CBillingNULL::ms_NULL$initializer$,bytes[8],20 00 6E 40 01 00 00 00,,0
0x1406EB840,.rdata,s_logCheat$initializer$,bytes[8],F0 04 6E 40 01 00 00 00,,0
0x1406EB848,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_6,bytes[8],40 05 6E 40 01 00 00 00,,0
0x1406EB850,.rdata,STATE_LIST_NULL$initializer$_6,bytes[8],90 05 6E 40 01 00 00 00,,0
0x1406EB858,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_6,bytes[8],F0 05 6E 40 01 00 00 00,,0
0x1406EB868,.rdata,e_EconomySystem$initializer$,bytes[8],40 07 6E 40 01 00 00 00,,0
